city,name,address,cuisine,rating,votes,cost,Latitude,Longitude
Abohar,FOODY MOOD,"FOODY MOOD, Arya nagar St no 7 Abohar, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116","Fast Food,Chinese",4.7,20,300,30.1367045,74.2094572
Adityapur,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, Shop No.1(II), B. No.1, Mango Bus Stand, P.S. Sakchi, P.S. Sitaramdera , District - Purbi Singhbhum, STATE - Jharkhand",Desserts,4.8,20,300,22.8024088,86.219026
Adityapur,Grameen Kulfi,"Grameen Kulfi, 1st Floor, Outer Circle Rd, Dey Complex, Building No.5, near Kantilal Medica Hospital, South Park, Bistupur, Jamshedpur, Jharkhand 831001","Ice Cream,Desserts",4.5,100,120,22.786939,86.177834
Adityapur,Equinox,"Equinox, The Sonnet Hotel, Contractor Area","Indian,Chinese",4.5,20,400,,
Adityapur,Thanco's Natural Ice Cream,"Thanco's Natural Ice Cream, Bistupur main road",Ice Cream,4.5,20,299,22.7925193,86.1840779
Adityapur,Baskin Robbins,"Baskin Robbins, EW20,MAIN ROAD, BISTUPUR NEAR BANK OF BARODA JAMSHEDPUR EAST SINGHBHUM, JHARKHAND","Desserts,Ice Cream",4.6,50,250,22.7934741,86.183907
Adityapur,Mathura Mistan Bhandar,"Mathura Mistan Bhandar, Kadma Bazar,Jamshedpur, Jharkhand-831005","Sweets,Snacks",4.5,100,200,22.8063295,86.1619826
Adityapur,The Belgian Waffle Co.,"The Belgian Waffle Co., RISHAB SHANTI APARTMENT  142  SHOP NO 2  AAMBAGAN ROAD  SAKCHI  JAMSHEDPUR 831001","Beverages,Desserts",4.5,100,200,22.8074816,86.203125
Adityapur,VADILAL ICE CREAMS,"VADILAL ICE CREAMS, RAJESH KESHRI-JAMSHEDPUR-33 Kasidih Bustee-LineNo 1, Near Sidhi VinayakMandir, Kasidih, SakchiJamshedpur Urban, PurbiSinghbhum, Jharkhand-831001",Ice Cream,4.6,50,200,24.3956038,81.8825279
Adityapur,Dosa Cafe (Hotel Ganga Regency),"Dosa Cafe (Hotel Ganga Regency), 171, KASIDIH NEWLAYOUT, SAKCHI, Sakchi,  Jamshedpur Urban, Purbi Singhbhum,  Jharkhand - 831001",South Indian,4.5,100,199,22.8102338,86.2105671
Adityapur,The Cake House,"The Cake House, House No-57,Kishori Nagar,Hume Pipe,Near New Civil court,Bagalgora,Jamshedpur,Purbi Singhbhum,Jharkhand-831001",Bakery,4.5,20,399,22.8107443,86.2113529
Adityapur,PUJA SWEETS BHALUBASA,"PUJA SWEETS BHALUBASA, SAI JAMBU TOWER BHALUBASA JAMSHEDPUR","Bengali,Sweets",4.6,50,100,22.8040905,86.2154526
Agartala,Sherowali Snacks and Bakery,"Sherowali Snacks and Bakery, Opp of LN Bari, LN Bari Road, Agartala","Bakery,Snacks",4.5,50,150,23.8339061,91.2838823
Agartala,Rahul fast Food Egg Cake,"Rahul fast Food Egg Cake, 2nd floor, City center, RMS Chowmuhani, room13th, Agartala, Tripura 799001, India",Fast Food,4.5,20,100,23.8290201,91.2746075
Agartala,Rock N Roll,"Rock N Roll, Krishna Nagar,Near Sanghati Club, Krishna Nagar, Agartala, Tripura 799001, India","North Indian,Chinese",4.5,20,175,23.8443515,91.2863387
Agra,Panchhi Petha,"Panchhi Petha, Shop No 1 , Upadhyay Market, Hari Parvat crossing , opposite Hari Parvat police station.",Desserts,4.5,50,200,27.4019329,78.4207695
Agra,Pablo Premium Kitchen,"Pablo Premium Kitchen, 9th FLOOR, 109, CORPORATE PARK SANJAY  PLACE AGRA,","Indian,Chinese",5,20,300,27.2000363,78.00823
Agra,Behrouz Biryani,"Behrouz Biryani, 36/395/1 NH-2, By pass, Nehru Nagar, Adjacent Shree Talkies Agra, Uttar Pradesh 282002","Biryani,Mughlai",4.6,100,500,27.2095418,78.0075787
Agra,The best diet corner,"The best diet corner, 30/110A, Buri Ka Nagla, Khandari, Agra, Uttar Pradesh 282001, India","Indian,Beverages",5,20,200,27.2011532,77.9584046
Ahmednagar,Bansi Maharaj,"Bansi Maharaj, Gulmohar road, savedi, Ahmednagar 414003","Sweets,Snacks",4.6,20,200,19.1213308,74.7370157
Ahmednagar,BHOLES ROLLS & CAFE,"BHOLES ROLLS & CAFE, PLOT NO 54 BHUSHAN NAGAR  Kedgaon, Ahmednagar, Maharashtra 414005, India",Lebanese,4.6,20,100,19.0690964,74.7107298
Ajmer,NIC Natural Ice Creams,"NIC Natural Ice Creams, Shop No 02 ,Ground Floor, Priyanshi Residency, Christian Gunj Rd, Mali Mohalla, Ajmer, Rajasthan 305001","Ice Cream,Desserts",4.6,100,120,26.4779092,74.6354578
Ajmer,Grameen Kulfi,"Grameen Kulfi, Shop No 02 ,Ground Floor, Priyanshi Residency, Christian Gunj Rd, Mali Mohalla, Ajmer, Rajasthan 305001","Ice Cream,Desserts",4.7,50,120,26.4779092,74.6354578
Alappuzha,Pastry Chef,"Pastry Chef, Near Chakkarakadavu Pally, Sea View ward, Alappuzha",Bakery,4.5,50,600,9.4979663,76.3360293
Alappuzha,Cakelers,"Cakelers, GROUND FLOOR, SAS MAHAL COMPLEX, SEA VIEW WARD, Alappuzha, Kerala","Bakery,Beverages",4.6,50,150,9.4997358,76.3332941
Alappuzha,Cakemellow,"Cakemellow, Nirmalyam, Aarattuvazhi Ward, Alappuzha",Bakery,4.6,20,400,9.5049417,76.326739
Alappuzha,Veg Palace,"Veg Palace, AATTD Arattukulakkara Complex, Anantha Narayanapuram, Alappuzha, Kerala 688011, India",South Indian,4.7,50,150,9.4900613,76.3394474
Aligarh,Grameen Kulfi,"Grameen Kulfi, SHOP AT GALI NO 3, MANDIR WALA MARKET, OPP. TAJ HOSPITAL, NEAR KELA NAGAR CHURAHA, ALIGARH,UP-202001","Ice Cream,Desserts",4.7,50,120,27.9032728,78.0919761
Aligarh,Barfiz the sweet store,"Barfiz the sweet store, Regency Plaza, Opp. Punjab National Bank, Medical Road, Aligarh, Uttar Pradesh 202001, India","Desserts,Sweets",4.5,20,150,27.9120026,78.0845476
Aligarh,Pahalwan Lassi Wale & Sweets,"Pahalwan Lassi Wale & Sweets, Khai Dora, Zone 7, Aligarh Locality, Aligarh,Test-Aligarh,Aligarh",Indian,4.7,100,250,27.8784476,78.0691789
Aligarh,STAR RESTAURANT,"STAR RESTAURANT, SURYA VIHAR COLONY NEAR KAVERI VATIKA, ALIGARH","North Indian,Indian",4.5,20,300,27.8865101,78.0872999
Allahabad,Kamdhenu,"Kamdhenu, 1, Elgin Road, Civil Lines, Prayagraj","Bakery,Chaat",4.5,50,300,25.4538547,81.8292529
Allahabad,The Belgian Waffle Co.,"The Belgian Waffle Co., 27A/7/17 VINAYAK COMPLEX, LBS MARG, ELGIN ROAD, CIVIL LINES, PRAYAGRAJ- 211001","Desserts,Beverages",4.5,100,200,25.4524535,81.8369532
Allahabad,The Baking Co. ( By Elchico),"The Baking Co. ( By Elchico), 142A, 32, Mahatma Gandhi, Civil Lines, Allahabad- 211001","Bakery,Fast Food",4.5,50,200,25.451053,81.83359
Allahabad,NIC Natural Ice Creams,"NIC Natural Ice Creams, Building No12/12, Ground Floor, Shop No-2, TB Sapru Marg,Mayo Hall,Prayagraj, Uttar Pradesh-211001","Ice Cream,Desserts",4.6,500,120,25.4675547,81.8166071
Allahabad,Grameen Kulfi,"Grameen Kulfi, Building No12/12, Ground Floor, Shop No-2, TB Sapru Marg,Mayo Hall,Prayagraj, Uttar Pradesh-211001","Ice Cream,Desserts",4.7,100,120,25.4675547,81.8166071
Allahabad,MICHAEL SARDARJI,"MICHAEL SARDARJI, 5 , Ashoka Road, gate 1, near High court, Prayagraj, Uttar Pradesh 211001",Indian,4.5,50,240,25.4578135,81.8206995
Allahabad,Mohan Lassi Bhandar,"Mohan Lassi Bhandar, 18/36 Sarai Mir Khan,NAGAR NIGAM FOOD SAFETY ZONE-06,PRAYAGRAJ,UTTAR PRADESH-211003","Beverages,Sweets",4.7,20,300,26.0052917,82.9447782
Allahabad,Domino's Pizza,"Domino's Pizza, Ground Floor,31A/31Plot No. Qq1Civil StationSardar Patel Marg",Pizzas,4.5,100,400,,
Allahabad,Vaishnavi Kitchen,"Vaishnavi Kitchen, 76/1 Ganesh Nagar Muirabad, Allahabad,Allahabad Tahsil, Prayagraj,","Indian,Snacks",4.6,20,300,25.4789124,81.8456593
Alwar,Grameen Kulfi,"Grameen Kulfi, Shop No 01, Old Station Rd, Alwar, Rajasthan 301001","Ice Cream,Desserts",4.5,20,120,27.5631105,76.6173726
Ambala,Kakoo Zee Ice Cream,"Kakoo Zee Ice Cream, Shop No.4,Opp. Capital Cinema, Ambala Cantt","Ice Cream,Beverages",4.6,20,200,30.3472614,76.8362097
Ambikapur,Tibet Kitchen,"Tibet Kitchen, OLD BUS STAND, SHIVDHARI ARCADE SHOP NO 9 BHAGWANPUR, AMBIKAPUR","Indian,Chinese",4.6,50,200,23.1185519,83.1930308
Ambur,IBACO,"IBACO, DOOR NO: P3, SHOP NO 1,2,3,4, GROUND FLOOR NEXT MOGHAL RESTAURANT, M C ROAD NH48, AMBUR -635802","Ice Cream,Desserts",4.6,20,200,12.7809197,78.7183865
Ambur,N.R.BRIYANI & KABAB,"N.R.BRIYANI & KABAB, no:95,opp to K.M. Hospital,M.C.road,Ambur-635802","Fast Food,Arabian",4.8,20,250,12.785924,78.721776
